,MainAreac,MainAreas1,MainAreas2,MainAreas3,MainAreas4,MainAreas5,MainAreas6,MainAreas7,MainAreas8,MainAreas9,MainAreas10,MainAreas11,MainAreas12,MainAreas13,MainAreas14,MainAreas15,MainAreas16,MainAreas17,MainAreas18,MainAreas19,MainAreas20,MainAreas21,MainAreas22,MainAreas23,MainAreas24,MainAreas25,MainAreas26,MainAreas27,MainAreas28,MainAreas29
Label,E18,E18,E18,E18,E18,E18,P0,P0,P0,P0,P0,P0,P3,P3,P3,P3,P3,P3,P6,P6,P6,P6,P6,P6,P9,P9,P9,P9,P9,P9
AcCa,25.55897136,27.01659709,27.01659709,27.01659709,27.21131794,27.01659709,26.43168088,26.75865083,26.75865083,26.75865083,26.75865083,26.75865083,26.75865083,26.43168088,26.75865083,26.43168088,26.75865083,26.75865083,27.3813095,27.3813095,27.3813095,27.3813095,27.53192203,27.53192203,27.53192203,27.8897105,27.3813095,27.3813095,27.8897105,27.53192203
BisMePA,31.97460864,36.26579109,36.26579109,34.71034129,36.26579109,34.71034129,34.71034129,34.71034129,35.09318358,34.71034129,35.09318358,34.71034129,36.26579109,36.26579109,36.26579109,36.02918512,36.26579109,36.26579109,36.26579109,36.26579109,36.26579109,36.26579109,36.26579109,36.26579109,36.26579109,36.26579109,36.26579109,36.26579109,36.26579109,36.26579109
CL,24.00366542,25.00498201,25.00498201,24.56614747,24.56614747,24.56614747,24.00366542,24.00366542,24.56614747,24.00366542,24.00366542,22.80823953,26.16110907,26.16110907,26.43168088,26.16110907,26.43168088,26.16110907,26.16110907,26.43168088,26.43168088,26.43168088,25.88045086,26.43168088,25.55897136,25.55897136,25.55897136,25.55897136,25.55897136,25.00498201
Cer,29.54279646,31.62156285,31.62156285,31.24199917,31.24199917,31.24199917,31.24199917,31.62156285,31.04033746,31.24199917,31.24199917,31.24199917,31.24199917,31.24199917,31.04033746,31.24199917,31.04033746,31.24199917,31.04033746,31.24199917,31.24199917,31.24199917,31.04033746,31.04033746,31.97460864,31.97460864,31.97460864,32.31338235,31.97460864,32.31338235
CerG1,29.92826724,30.5662343,29.92826724,29.92826724,29.92826724,29.92826724,29.54279646,29.54279646,29.54279646,29.92826724,29.92826724,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,30.5662343,32.79811832,32.79811832,32.79811832,34.71034129,32.79811832,33.17510215
CerP,27.53192203,31.24199917,31.04033746,31.04033746,31.04033746,31.04033746,31.62156285,31.24199917,31.62156285,31.62156285,31.62156285,31.62156285,25.88045086,25.88045086,26.16110907,25.88045086,26.16110907,26.43168088,25.88045086,25.88045086,26.16110907,26.16110907,26.75865083,26.16110907,29.16155822,29.16155822,29.54279646,29.54279646,29.16155822,28.62290016
ChE,34.71034129,25.55897136,25.88045086,25.88045086,26.75865083,26.75865083,25.55897136,25.00498201,25.55897136,25.00498201,25.55897136,25.00498201,24.56614747,24.56614747,24.56614747,24.56614747,24.56614747,24.56614747,24.56614747,24.56614747,24.56614747,24.56614747,24.56614747,24.56614747,24.56614747,24.00366542,23.51543996,22.80823953,24.00366542,22.80823953
Co,33.17510215,25.88045086,26.16110907,25.55897136,26.16110907,25.55897136,27.01659709,26.43168088,26.43168088,25.88045086,25.88045086,26.16110907,27.21131794,26.75865083,27.21131794,27.21131794,27.01659709,27.3813095,26.75865083,27.01659709,26.75865083,26.75865083,27.01659709,27.3813095,26.16110907,25.88045086,26.16110907,25.88045086,25.00498201,25.88045086
DG,36.26579109,34.71034129,34.71034129,36.02918512,34.71034129,36.02918512,35.09318358,36.02918512,34.71034129,35.09318358,34.71034129,35.09318358,34.33705938,34.33705938,34.33705938,34.33705938,34.71034129,34.71034129,34.33705938,34.33705938,34.33705938,34.33705938,34.33705938,34.33705938,34.33705938,34.71034129,34.33705938,33.17510215,33.17510215,34.33705938
