,MainAreac,MainAreas1,MainAreas2,MainAreas3,MainAreas4,MainAreas5,MainAreas6,MainAreas7,MainAreas8,MainAreas9,MainAreas10,MainAreas11,MainAreas12,MainAreas13,MainAreas14,MainAreas15,MainAreas16,MainAreas17,MainAreas18,MainAreas19,MainAreas20,MainAreas21,MainAreas22,MainAreas23,MainAreas24,MainAreas25,MainAreas26,MainAreas27,MainAreas28,MainAreas29
Label,E18,E18,E18,E18,E18,E18,P0,P0,P0,P0,P0,P0,P3,P3,P3,P3,P3,P3,P6,P6,P6,P6,P6,P6,P9,P9,P9,P9,P9,P9
AcCa,27.61827284,28.0469332,27.61827284,27.83707628,27.83707628,27.17610872,26.82428254,26.32147963,27.17610872,26.82428254,27.17610872,26.82428254,27.38383513,27.61827284,27.52720697,27.38383513,26.82428254,27.17610872,28.0469332,28.0469332,28.0469332,28.0469332,28.0469332,27.38383513,27.83707628,27.83707628,27.61827284,27.83707628,28.0469332,27.38383513
BisMePA,36.25886342,36.25886342,36.01530566,36.01530566,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342,36.25886342
CL,25.24653761,25.24653761,24.7663057,24.7663057,24.7663057,25.24653761,25.73095107,25.73095107,25.73095107,25.73095107,26.32147963,25.73095107,27.17610872,26.82428254,26.82428254,27.17610872,27.17610872,27.38383513,27.17610872,27.17610872,27.17610872,27.17610872,27.38383513,27.52720697,27.17610872,27.52720697,27.52720697,27.38383513,27.17610872,27.17610872
Cer,30.63419128,30.63419128,30.63419128,30.63419128,30.63419128,30.63419128,30.63419128,31.03763363,30.63419128,30.63419128,30.63419128,30.63419128,30.63419128,30.63419128,30.63419128,31.29347253,30.63419128,30.63419128,30.63419128,30.63419128,30.63419128,30.63419128,31.29347253,30.63419128,31.03763363,31.5039698,31.5039698,31.29347253,31.29347253,31.5039698
CerG1,29.66177219,29.66177219,29.66177219,29.66177219,29.66177219,29.32335287,27.83707628,27.83707628,28.0469332,28.0469332,28.0469332,27.83707628,29.01745183,29.32335287,29.01745183,29.01745183,29.01745183,29.01745183,29.01745183,29.01745183,29.01745183,29.01745183,29.32335287,29.32335287,29.01745183,29.32335287,29.01745183,29.01745183,29.01745183,29.01745183
CerG2,25.73095107,26.82428254,25.73095107,25.24653761,25.73095107,24.7663057,19.75411396,19.75411396,19.75411396,19.05653431,19.75411396,19.75411396,19.05653431,19.05653431,19.75411396,19.05653431,19.05653431,19.75411396,19.75411396,21.47064695,19.75411396,19.75411396,19.75411396,19.75411396,19.75411396,19.75411396,19.75411396,19.75411396,19.75411396,19.75411396
CerP,28.0469332,29.01745183,28.0469332,29.01745183,28.0469332,29.01745183,29.32335287,29.32335287,29.01745183,29.01745183,29.32335287,29.32335287,26.32147963,26.32147963,26.32147963,26.32147963,26.32147963,26.32147963,26.32147963,26.82428254,26.32147963,26.32147963,26.32147963,26.32147963,27.38383513,27.17610872,27.38383513,27.52720697,27.83707628,27.52720697
Co,21.47064695,24.7663057,26.32147963,25.73095107,25.24653761,25.73095107,19.05653431,19.05653431,19.05653431,19.75411396,19.05653431,19.05653431,19.75411396,19.75411396,19.05653431,19.75411396,19.75411396,19.05653431,19.05653431,19.05653431,19.05653431,19.05653431,19.05653431,19.05653431,19.05653431,19.05653431,19.05653431,19.05653431,19.05653431,19.05653431
DG,34.46148281,33.97203902,33.97203902,34.46148281,33.97203902,34.46148281,34.46148281,33.97203902,34.46148281,33.97203902,34.46148281,33.97203902,33.97203902,33.97203902,33.97203902,33.97203902,34.46148281,33.97203902,33.97203902,33.97203902,33.97203902,33.97203902,33.97203902,33.97203902,33.31790286,33.31790286,33.31790286,33.31790286,33.31790286,33.97203902
DGMG,19.75411396,19.05653431,19.75411396,19.05653431,19.05653431,19.05653431,23.75941091,23.75941091,23.75941091,23.75941091,23.75941091,23.75941091,23.75941091,24.7663057,23.75941091,23.75941091,24.7663057,22.87972335,24.7663057,25.73095107,25.24653761,24.7663057,24.7663057,23.75941091,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695,21.47064695
LPC,32.74761692,32.18875212,32.18875212,32.18875212,32.74761692,32.74761692,32.74761692,33.31790286,33.31790286,33.31790286,33.31790286,32.74761692,33.31790286,33.31790286,32.74761692,33.31790286,32.74761692,32.74761692,33.31790286,33.31790286,33.31790286,33.31790286,33.31790286,32.74761692,33.97203902,33.97203902,33.97203902,33.97203902,33.97203902,33.31790286
LPE,29.32335287,29.32335287,29.32335287,29.32335287,29.32335287,29.66177219,29.66177219,29.66177219,29.66177219,29.66177219,29.66177219,29.66177219,29.66177219,29.01745183,29.66177219,29.66177219,29.66177219,29.66177219,29.32335287,29.32335287,29.66177219,29.32335287,29.01745183,29.01745183,32.18875212,31.29347253,31.29347253,32.74761692,32.74761692,31.29347253
LPI,22.87972335,22.87972335,22.87972335,21.47064695,21.47064695,21.47064695,22.87972335,22.87972335,22.87972335,22.87972335,22.87972335,22.87972335,22.87972335,22.87972335,22.87972335,22.87972335,22.87972335,23.75941091,22.87972335,22.87972335,22.87972335,23.75941091,22.87972335,22.87972335,25.73095107,25.24653761,25.24653761,26.32147963,26.32147963,25.24653761
LPS,24.7663057,23.75941091,23.75941091,23.75941091,22.87972335,22.87972335,25.24653761,24.7663057,24.7663057,25.24653761,25.24653761,25.24653761,24.7663057,23.75941091,25.73095107,25.73095107,25.73095107,25.24653761,25.73095107,25.24653761,24.7663057,25.24653761,25.24653761,24.7663057,26.82428254,26.32147963,26.82428254,28.0469332,27.38383513,26.32147963
