"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Dync1h1","25.69179","25.69179","25.41426","25.91061","25.69179","24.93085","25.61572","24.86639","24.93085","24.74923","25.14815","24.63682","24.63682","24.50763","24.66387","24.66387","24.54995","25.37105","25.41426","25.47288","25.41426","25.37105","25.26410","24.86639","25.26410","24.81568","25.02561","24.86639","25.41426"
"Map1b","27.63049","27.63049","27.63049","27.63049","27.63049","27.63049","27.63049","27.63049","27.48561","27.63049","27.63049","26.90849","27.48561","26.61902","26.90849","27.29634","27.15976","27.29634","27.15976","27.29634","27.29634","27.29634","27.48561","25.14815","24.63682","24.70272","24.81568","23.94235","23.80862"
"Tuba1a","30.30277","30.30277","30.30277","30.30277","29.91289","30.30277","29.91289","30.30277","29.91289","29.91289","30.30277","29.91289","29.91289","29.91289","29.91289","29.91289","29.91289","30.30277","30.30277","30.30277","30.30277","30.30277","30.30277","29.91289","30.30277","30.30277","27.96384","30.30277","30.30277"
"Tubb2b","29.91289","29.91289","29.91289","29.91289","30.30277","29.91289","30.30277","29.91289","30.30277","30.30277","29.91289","30.30277","30.30277","30.30277","30.30277","30.30277","30.30277","29.91289","29.91289","29.91289","29.91289","29.91289","29.91289","28.31434","29.91289","29.91289","30.30277","29.91289","29.91289"
"Tubb2a","23.24972","23.50334","23.45905","23.58888","23.42883","23.44427","23.64399","23.80862","23.48110","23.32988","23.61678","22.76514","21.45749","21.64754","23.00513","22.44004","22.18833","23.44427","23.52969","23.36175","23.21334","23.52969","23.06784","23.73098","23.97166","24.50763","23.44427","24.38388","22.87087"
"Tuba1b","23.52969","23.69025","23.34424","22.99564","23.58888","23.61678","24.26586","22.99564","23.69025","23.75876","24.23919","23.50334","23.26437","22.87087","23.38328","22.63832","23.01886","21.86988","22.58822","22.81324","23.88555","22.99564","23.91029","24.42473","24.57441","25.02561","22.81324","24.66387","26.35113"
"Tuba1c","14.564894","15.415283","15.493092","15.152258","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","16.440434","17.332483","16.317013","18.277751"," 6.848008","17.020780","13.119830","15.661630","16.508282","15.235399","16.458650","16.299267"
"Tubb5","26.72857","26.54609","26.19013","26.90849","26.46355","26.46355","27.15976","25.91061","26.90849","26.07432","27.29634","26.72857","26.61902","26.72857","26.72857","26.72857","26.46355","26.13475","26.13475","26.72857","26.00837","26.13475","26.07432","25.41426","25.61572","26.07432","26.00837","25.54147","26.19013"
"Tubb4b","23.84364","24.11541","23.79142","23.61678","24.19309","23.13485","24.54995","23.36175","22.99564","23.41118","24.42473","24.06793","23.69025","23.79142","23.84364","23.44427","23.71670","24.81568","24.66387","24.81568","24.63682","24.66387","24.45292","24.74923","25.54147","26.19013","25.61572","24.34979","23.52969"
"Cltc","24.54995","24.34979","24.54995","24.97288","24.54995","24.23919","24.97288","24.63682","25.22324","24.86639","24.97288","22.83681","23.00513","23.18063","23.44427","23.36175","22.94509","25.22324","25.22324","25.54147","25.47288","25.26410","25.47288","26.07432","26.35113","26.54609","26.61902","26.54609","26.46355"
"Map2","25.14815","25.02561","24.97288","24.74923","24.81568","24.97288","24.81568","25.09717","25.02561","24.60664","24.60664","24.74923","24.50763","24.38388","24.45292","24.48560","24.60664","25.41426","25.54147","25.14815","25.22324","25.41426","25.14815","24.78624","23.94235","24.06793","24.00718","24.11541","23.28264"
"Atp1a3","26.13475","26.13475","26.13475","26.13475","26.00837","26.54609","26.46355","26.46355","26.54609","26.00837","26.46355","26.13475","25.91061","26.07432","26.13475","25.61572","26.13475","26.61902","26.61902","26.54609","26.72857","26.72857","26.72857","27.48561","27.48561","27.48561","27.48561","27.48561","26.72857"
"Tubb3","26.54609","26.90849","26.72857","26.61902","26.90849","26.90849","27.29634","26.90849","27.15976","27.29634","27.15976","27.96384","27.63049","27.96384","27.96384","27.96384","27.48561","25.61572","25.47288","25.61572","25.91061","25.81626","26.00837","24.60664","25.74516","25.91061","25.14815","26.28789","26.00837"
"Tubb4a","21.89741","22.39282","22.08514","23.14783","22.32727","23.31487","22.48292","22.60278","22.11457","22.03731","20.58704","22.92114","23.34424","24.54995","22.46732","24.06793","23.36175","21.88020","21.61410","21.80482","21.14803","22.07521","21.59757","23.56942","23.58888","23.97166","23.64399","24.00718","23.66273"
"Dpysl2","27.48561","27.48561","27.48561","27.29634","27.29634","27.29634","27.48561","27.15976","27.29634","27.48561","27.48561","27.63049","27.15976","27.63049","27.48561","27.63049","27.63049","27.48561","27.63049","27.96384","27.63049","27.96384","28.31434","26.90849","26.90849","27.15976","27.15976","26.90849","27.15976"
"Dpysl3","26.28789","26.28789","26.28789","26.07432","26.35113","26.00837","26.90849","26.00837","26.13475","26.28789","26.54609","27.15976","26.90849","27.48561","27.15976","26.90849","27.29634","26.19013","26.35113","25.91061","26.13475","26.35113","26.19013","25.69179","26.19013","26.00837","26.28789","25.91061","25.47288"
"Ncam1","27.96384","27.96384","27.96384","27.96384","27.96384","27.96384","27.96384","27.96384","27.63049","27.96384","27.96384","27.29634","27.29634","26.90849","27.29634","27.15976","26.90849","27.15976","27.29634","27.48561","27.15976","27.48561","27.15976","25.54147","25.41426","25.41426","25.69179","25.37105","24.78624"
