"","M_E18_1","M_E18_2","M_E18_3","M_E18_4","M_E18_5","M_E18_6","M_P0_1","M_P0_2","M_P0_3","M_P0_4","M_P0_5","M_P0_6","M_P3_1","M_P3_2","M_P3_3","M_P3_4","M_P3_5","M_P3_6","M_P6_1","M_P6_2","M_P6_3","M_P6_4","M_P6_5","M_P6_6","M_P9_2","M_P9_3","M_P9_4","M_P9_5","M_P9_6"
"Label","E18","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9"
"Rplp0","20.60995","20.57012","20.75646","19.94251","20.52336","21.50750","22.00341","20.23307","21.98293","20.46427","21.45709","19.54582","21.68847","21.87767","21.68181","22.11593","22.54893","22.01188","22.95088","23.24831","23.32365","23.41492","23.15581","23.15581","19.46770","20.30268","19.30251","20.71608","20.42410"
"Grb2","18.311705","14.623556","14.473767","14.388302","14.334135","14.910696","18.264802","18.884291","15.151429","17.829649","17.793734","17.705084","16.255947","16.024316","20.615022","19.186780","15.644212","18.197585","19.004265","19.402920","17.747386","17.793734","18.106109","18.719860","13.117634","12.969020","10.612852"," 8.841909","10.092720"
"Gpm6b","21.87767","21.98293","21.79799","20.78147","21.89911","21.73926","21.10509","21.40728","19.57934","21.09791","20.95437","21.86283","21.44293","22.01188","20.92030","21.87767","21.73215","21.73926","21.38313","21.76327","21.31741","21.24217","21.49425","21.56982","21.06233","22.43982","21.93936","22.31562","21.68847"
"Cspg5","19.14543","18.21864","17.71828","18.24273","14.33413","18.68666","18.67457","14.27606","19.66495","18.62811","19.18678","18.78959","20.42410","19.32187","20.74402","18.97095","20.88202","18.93547","19.91946","19.83417","20.13484","20.09344","20.14366","20.02741","17.77669","18.69184","19.37726","19.64539","17.49762"
"Fdps","19.186780","18.999297","14.473767","19.009458","14.334135","14.910696","18.756809","18.913929","15.151429","19.588552","17.652942","14.717097","16.255947","16.024316","17.039124","16.470558","15.644212","15.805289","15.665039","16.397805","16.565560","16.156299"," 8.841909"," 8.841909","16.533734","12.969020","10.612852","18.443714","10.092720"
"Ndufs3","18.69668","18.43387","14.47377","17.32648","14.33413","14.91070","14.61640","20.11113","17.82411","19.87080","15.16898","14.71710","19.60922","19.81999","17.03912","19.73433","19.32904","19.61427","15.57975","15.65220","16.01777","16.87475","17.91371","18.05954","20.60248","18.84598","17.83592","18.89771","16.69606"
"Rpl30","14.88110","18.02638","19.65253","20.29595","14.33413","14.91070","18.84143","16.96892","18.61252","15.10794","20.54236","17.72199","21.93936","20.81602","21.83746","20.64021","20.71998","19.37199","22.24907","22.47867","22.22164","22.26078","22.06350","22.01188","18.71986","20.53004","19.44143","16.83042","20.57508"
"Fnbp1l","20.58285","19.79899","20.63454","20.75196","21.03949","20.57012","18.27704","20.28482","18.97095","18.53555","18.14108","18.18998","20.77373","20.69397","21.70258","16.47056","15.64421","20.16522","19.47270","19.26399","19.72974","19.97013","17.70508","17.35153","18.02638","17.92957","10.61285","17.09457","17.18745"
"Atic","14.88110","14.62356","14.47377","19.10842","14.33413","14.91070","18.33768","17.01781","17.56952","17.88037","15.16898","19.47270","16.25595","20.63454","17.03912","16.47056","18.48754","20.49352","15.52459","15.24330","17.34023","16.56556","15.52459","15.33210","17.87136","16.16695","16.17581","16.90009","15.96053"
